name,2013.00 ,2014.00 ,2015.00 ,2016.00 ,2017.00 ,2018.00 ,2019.00 ,2020.00 ,2021.00 ,2022.00 ,2023.00 
360 One Wam Ltd.,,,,,,,,27.59,0.7,2.5,5.26
3M India Ltd.,0.29,0.05,1.78,0.72,4.08,3.86,1.13,40.89,5.26,8.34,7.57
A B B India Ltd.,9.38,10.38,8.64,3.44,11.72,98.28,7.28,2.37,14.96,44.82,18.61
A C C Ltd.,26.52,10.75,23.99,17.91,13.39,14.24,406.01,24.66,39.63,23.64,169.81
A I A Engineering Ltd.,0.49,0.85,16.37,0.68,1.22,178.04,0.29,1.04,1.88,0.73,28.66
A P L Apollo Tubes Ltd.,3.1,0,2.13,0.68,2.41,21.19,0.94,5.46,9.05,50.46,13.25
A U Small Finance Bank Ltd.,,,,,,17.7,13.18,29.7,15.24,148.71,31.66
Aarti Drugs Ltd.,0.94,0.82,31.97,0.59,2.03,1.11,0.46,0.14,13.67,7.79,3.13
Aarti Industries Ltd.,2.09,0.79,2.9,0.63,1.92,2.24,9.05,18.91,48.85,37.33,16.13
Aavas Financiers Ltd.,,,,,,,1.43,6.1,4.63,3.64,6.92
Abbott India Ltd.,0.79,0.31,3.73,4.38,4.21,3.64,17.36,2.26,187.83,45.14,5.69
Adani Energy Solutions Ltd.,,,,11.05,16.15,14.48,3.49,3.96,16,4.23,407.44
Adani Enterprises Ltd.,87.84,105.8,1190.22,27.04,137.44,218.36,77,49.2,121.67,143.15,1698.43
Adani Green Energy Ltd.,,,,,,,4.1,20.17,35.93,32.04,681.15
Adani Ports & Special Economic Zone Ltd.,281.69,11.69,379.55,63.74,67.38,73.52,187.38,24.53,115.57,44.08,894.22
Adani Power Ltd.,21.41,9.03,150.69,16.57,64.4,44.82,177.46,24.14,39.77,88.72,58.51
Adani Total Gas Ltd.,,,,,,,9.63,21.6,28.79,14.17,118
Adani Wilmar Ltd.,,,,,,,,,,,56.55
Aditya Birla Capital Ltd.,,,,,,52.56,17.18,15.39,17.48,23.07,15.51
Aditya Birla Fashion & Retail Ltd.,,0.13,0.05,0.73,239.23,8.99,22.94,6.3,25.01,37.97,13.11
Aditya Birla Sun Life A M C Ltd.,,,,,,,,,,8.76,2.33
Aegis Logistics Ltd.,1.14,1.66,1.77,18.88,5.07,5.67,0.25,2.56,1.75,8.61,31.6
Aether Industries Ltd.,,,,,,,,,,,2.07
Affle (India) Ltd.,,,,,,,,12.68,18.08,55.19,11.55
Ajanta Pharma Ltd.,74.33,8.39,24.31,21.36,25.13,12.66,106.38,1.92,5.52,5.02,1.64
Akzo Nobel India Ltd.,25.14,1.84,26.98,4.86,3.72,1.51,0.54,0.84,2.53,1.51,0.94
Alembic Pharmaceuticals Ltd.,13.5,6.14,6.66,11.15,4.11,25.9,1.46,2.45,18.88,4.96,2.01
Alkem Laboratories Ltd.,,,,28.77,2.96,9.22,0.75,9.88,7.68,13.61,7.45
Alkyl Amines Chemicals Ltd.,0.65,0.01,0.35,0.43,0.1,1.23,0.36,1.14,32.13,19.59,5.5
Alok Industries Ltd.,7.42,2.15,18.57,3.85,3.66,2.29,3.9,6.89,16.99,95.65,6.04
Amara Raja Batteries Ltd.,11.13,2.13,35.47,7.48,11.14,25.42,18,10.43,73.17,42.44,14.75
Amber Enterprises India Ltd.,,,,,,580.86,0.12,28.13,21.57,64.56,2.96
Ambuja Cements Ltd.,46.14,18.7,22.8,12,22.6,14,23.78,11.8,112.71,40.08,664.57
Angel One Ltd.,,,,,,,,,15.17,21.24,43.5
Anupam Rasayan India Ltd.,,,,,,,,,,34.53,1.18
Apar Industries Ltd.,0.35,1.1,0.77,7.95,1.4,2.28,0.18,0.39,3.91,33.22,171.65
Apollo Hospitals Enterprise Ltd.,8.46,5.31,17.83,24.77,8.8,16.72,19.7,19.85,86.17,210.75,72.7
Apollo Tyres Ltd.,11.39,87.06,142.55,20.1,41.78,33.25,22.43,14.58,249.69,46.99,33
Aptus Value Housing Finance India Ltd.,,,,,,,,,,4.83,1.45
Archean Chemical Inds. Ltd.,,,,,,,,,,,12.6
Asahi India Glass Ltd.,2.6,0.16,3.04,2.02,2.17,278.22,0.23,6.68,0.54,6.19,10
Ashok Leyland Ltd.,7.85,19.14,147.4,42.86,106.29,51.64,151.77,47.73,188.51,62.92,54.61
Asian Paints Ltd.,71.38,64.29,251.24,36.84,75.64,205.74,88.08,37.16,222.77,159.49,301.63
Aster D M Healthcare Ltd.,,,,,,,0.26,0.4,0.93,5.28,0.57
Astral Ltd.,1.16,2.26,3.78,2.15,1.86,15.63,0.69,31.61,19.49,46.59,77.23
Astrazeneca Pharma India Ltd.,2.6,5.24,1.09,2.13,0.47,1.01,0.34,6.15,9.94,2.36,1.92
Atul Ltd.,2.34,1.32,7.66,1.01,9.85,2.93,15.15,6.43,27.07,26.33,11.82
Aurobindo Pharma Ltd.,19.77,467.22,65.95,91.82,144.24,74.36,51.86,43.47,131.98,59.83,31.86
Avanti Feeds Ltd.,1.54,0.15,27.17,11.31,6.5,34.97,95.22,36.38,13.32,6.17,4.26
Avenue Supermarts Ltd.,,,,,,109.35,39.54,390.7,80.02,60.61,43.58
Axis Bank Ltd.,234.89,294.1,366.43,359.1,110.69,183.07,914.22,160.54,606.44,316.48,103.75
B A S F India Ltd.,2.46,1.4,6.06,4.5,4.61,6.88,4.29,1,3.71,3.29,27.14
Bajaj Auto Ltd.,73.21,36.23,34.07,32.25,249.29,189.6,126.59,92.99,183.57,89.35,29.5
Bajaj Electricals Ltd.,7.67,2.51,7.13,4.57,4.71,14.43,23.86,1.43,8.62,13.74,3.19
Bajaj Finance Ltd.,1.53,0.59,22.35,15.33,246.22,61.98,295.69,221.66,855.83,482.06,254.57
Bajaj Finserv Ltd.,9.37,1.18,12.78,4.3,86.58,119.81,82.17,151.48,231.43,227.54,144.76
Bajaj Holdings & Invst. Ltd.,1.09,0.27,2.27,0.46,11.08,3.45,343.48,7.61,2.5,4.01,11.37
Balaji Amines Ltd.,0.57,0.35,0.16,2.4,2.69,13.83,1.27,7.11,2.37,30.21,27.13
Balkrishna Industries Ltd.,0.49,14.03,6.84,256.54,3.4,63.9,24.17,7.81,47.04,19.68,11.17
Balrampur Chini Mills Ltd.,23.87,13.09,2.87,24.95,21.87,38.98,8.27,7.95,1.72,41.17,15.26
Bandhan Bank Ltd.,,,,,,,34.43,38.31,366.13,57.24,24.64
Bank Of Baroda,138.44,99.87,785.88,145.17,78.01,272.93,86.18,53.28,370.55,363.62,275.03
Bank Of India,120.81,192.92,233.98,56.08,25.44,55.87,133.73,24.47,11.25,65.32,230.12
Bank Of Maharashtra,2.07,3.4,3.14,0.53,5.35,2.99,2.51,0.4,8.86,14.52,81.07
Bata India Ltd.,16.86,17.67,24.67,22.49,12.45,9.96,27.03,23.61,27.25,70.58,14.46
Bayer Cropscience Ltd.,2.48,10.76,11.35,1.76,166,3.84,5.06,3.04,6.51,1.56,1.8
Berger Paints India Ltd.,5.29,3.95,34.81,6.21,4.58,19.58,13.52,39.64,29.81,12.35,18.02
Bharat Dynamics Ltd.,,,,,,,0.37,1.09,5.1,15.46,30.99
Bharat Electronics Ltd.,1.34,0.24,52.38,24.92,82.36,103.52,95.36,170.83,236.84,359.12,220.7
Bharat Forge Ltd.,14.95,18.01,65.55,42.66,31.8,16.81,27.66,15.06,51.76,42.56,25.08
Bharat Heavy Electricals Ltd.,129.43,75.82,255.12,49.94,101.34,82.84,37.9,44,410.32,203.42,126.28
Bharat Petroleum Corpn. Ltd.,52.4,25.72,147.84,54.86,92.9,1082.5,27.61,59.33,224.92,250.77,60.16
Bharti Airtel Ltd.,60.61,59.45,62.63,102.93,137.77,70.73,76.12,148.66,677.39,275,39.36
Bikaji Foods Intl. Ltd.,,,,,,,,,,,48.24
Biocon Ltd.,12.61,106.02,39.09,26.59,57.98,217.48,36.01,41.74,116.03,26.9,22.83
Birla Corporation Ltd.,0.38,0.11,1.57,0.35,4.8,1.95,0.66,19.79,3.57,8.28,8.6
Birlasoft Ltd.,2.99,14.43,55.92,20.83,13.23,68.85,41.73,67.4,7.65,105.66,41.01
Blue Dart Express Ltd.,1.04,4.55,7.94,1.75,1.5,6.89,2.89,1.35,20.45,15.76,8.65
Blue Star Ltd.,0.89,1.16,1.85,0.37,8.07,1.56,0.67,5.35,8.7,3.94,6.6
Bombay Burmah Trdg. Corpn. Ltd.,1.97,0.7,27.22,0.87,36.92,27.93,7.17,5.96,4.37,12.11,0.91
Borosil Renewables Ltd.,0.06,0.46,1.97,2.73,3.17,11.93,2.37,0.9,21.36,35.17,16.39
Bosch Ltd.,12.81,4.71,102.3,25.82,17.6,34.77,7.8,10.21,45.72,13.15,6.54
Brigade Enterprises Ltd.,2.21,0.87,12.48,3.28,0.06,1.05,0.8,6.39,0.8,9.26,0.82
Britannia Industries Ltd.,2.62,2.07,12.03,17.4,35.36,12.04,57.83,226.56,75.26,41.44,35.09
C C L Products (India) Ltd.,1.07,1.34,15.51,7.97,2.46,2.39,0.15,22.13,1.74,100.26,6.67
C E Info Systems Ltd.,,,,,,,,,,55.53,3.01
C E S C Ltd.,3.17,16.41,11.31,29.12,31.83,19.94,9.58,3.5,4.43,12.17,10.95
C G Power & Indl. Solutions Ltd.,78.02,59.86,60.98,19.49,25.03,36.36,21.41,0.9,7.88,29.82,30
C I E Automotive India Ltd.,0.61,0.1,24.33,1.18,2.12,9.29,0.63,0.87,1.11,1.54,38.63
C S B Bank Ltd.,,,,,,,,6.41,5.27,6.02,9.04
Campus Activewear Ltd.,,,,,,,,,,,7.66
Can Fin Homes Ltd.,0.8,0.24,6.75,2.5,33.39,18.01,8.32,14.56,20,23.99,23.53
Canara Bank,30.42,111.68,127.19,66.45,48.73,76.25,48.86,44.73,287.78,377.47,142.58
Caplin Point Laboratories Ltd.,0.28,0.93,61.74,3.96,5.19,6.77,2.2,1.24,2.83,8.8,1.05
Capri Global Capital Ltd.,0.37,0,0.15,0.06,0.23,0.41,21.42,55.33,27.23,0.68,19.47
Carborundum Universal Ltd.,0.25,0.07,8.18,0.22,14.3,8.13,2.8,1.05,4.94,6.7,22.78
Castrol India Ltd.,4.53,14.57,28.61,8.89,58.19,48.58,46.79,17.41,13.31,7.95,4.11
Ceat Ltd.,1,61.56,84.72,34.24,114.07,40.96,57.2,3.02,57.2,5.33,15.33
Central Bank Of India Ltd.,20.16,3.74,33.92,1.87,1.67,1.84,0.97,1.63,6.06,16.21,21.11
Century Plyboards (India) Ltd.,0.13,0.07,8.1,5.23,23.57,3.1,0.91,0.42,3.74,22.58,4.53
Century Textiles & Inds. Ltd.,49.93,59.17,86.08,50.79,269.91,52.88,29.29,114.29,16.03,9.37,27.5
Cera Sanitaryware Ltd.,0.27,0.08,3.05,0.49,0.2,5.61,2.05,0.36,1.75,5.59,3.08
Chalet Hotels Ltd.,,,,,,,,0.12,2.96,28.54,1.57
Chambal Fertilisers & Chemicals Ltd.,10.59,1.91,6.56,3.87,10.35,25.34,14.29,9.25,34.46,60.44,67.07
Chemplast Sanmar Ltd.,5.38,,,,,,,,,59.08,2.25
Cholamandalam Financial Holdings Ltd.,281.42,1.21,9.65,1.66,0.51,421.38,0.45,0.14,2.87,1.18,2.33
Cholamandalam Investment & Finance Co. Ltd.,0.22,0.22,11.09,0.98,9.36,35.5,51.26,10.66,124.11,41.92,17.82
Cipla Ltd.,38.4,20.52,97.76,38.28,15.28,971.65,34.75,48.45,177.9,52.62,39.26
City Union Bank Ltd.,2.25,1.23,4.12,1.39,2.33,4.27,1.75,2.74,12.56,16.16,6.67
Clean Science & Technology Ltd.,,,,,,,,,,14,3.6
Coal India Ltd.,55.86,48.26,477.04,111.9,138.33,78.23,30.5,159.44,87.37,44.06,109.92
Cochin Shipyard Ltd.,,,,,,32.33,1.62,4.09,1.64,2.58,26.88
Coforge Ltd.,2.42,7.26,2.85,21.86,8.82,26.01,23.82,74.11,29.52,78.21,55.41
Colgate-Palmolive (India) Ltd.,55.38,8.2,18.37,34.72,20.04,17.51,13.25,100.89,194.54,13.18,30.55
Computer Age Mgmt. Services Ltd.,,,,,,,,,8.52,36.77,4.71
Container Corpn. Of India Ltd.,0.5,13.46,5.43,6.06,27.24,25.45,22.96,9.67,71.75,23.88,45.3
Coromandel International Ltd.,0.8,1.15,3.79,0.74,32.67,13.81,2.16,28.42,9.95,7.6,9.87
Creditaccess Grameen Ltd.,,,,,,,1.93,3.59,6.3,5.97,4.64
Crisil Ltd.,0.72,0.13,11.91,3.03,0.73,1.38,0.15,0.75,0.77,4.37,4.5
Crompton Greaves Consumer Electricals Ltd.,,,,,363.1,20.09,2.64,49.09,16.47,13.87,4.27
Cummins India Ltd.,17.77,54.81,11.99,38.09,18.38,17.53,7.2,23.26,140.4,10.91,17.95
Cupid Ltd.,0.18,0.01,10.84,30.11,4.41,8.13,0.18,1.41,1.04,0.7,5.44
Cybertech Systems & Software Ltd.,0.07,2.74,0.49,0.29,6.02,0.84,0.04,0.14,1.5,11.94,0.48
Cyient Ltd.,0.49,0.37,3.21,0.48,1.56,26.3,6.84,0.8,50.3,7.84,27.42
D B Realty Ltd.,39.58,6.32,74.61,2.27,1.04,11.61,0.67,0.23,1.84,36.85,9.09
D C M Shriram Ltd.,0.48,0.24,2.95,0.51,2.8,9.1,10,1.51,5.41,5.59,2.35
D L F Ltd.,504.71,74.74,301.99,140.89,86.35,157.63,55.03,184.97,264.08,90.2,37.51
D-Link (India) Ltd.,0.77,1.86,2.8,0.56,6.27,9.07,0.18,1.38,1.43,8.49,2.65
Dabur India Ltd.,58.61,9.93,53.42,14.39,29.47,98.98,250.51,290.42,104.77,19.11,5.8
Dalmia Bharat Ltd.,,,,,,,8.9,3.17,3.1,13.15,19.26
Data Patterns (India) Ltd.,,,,,,,,,,11.59,48.62
Datamatics Global Services Ltd.,0.17,3.68,2.01,3.56,48.34,3.59,4.11,0.7,3.04,7.07,1.56
De Nora India Ltd.,0.21,0.17,0.27,1.14,0.16,124.7,0.04,0.17,0.98,0.97,0.68
Deccan Cements Ltd.,0.03,0.03,0.01,3.36,0.65,0.07,0.05,0.32,0.74,3.34,0.27
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,1.85,2.46,2.87,2.43,7.27,15.98,8.98,4.79,7.97,11.96,19.52
Deepak Nitrite Ltd.,0.19,0.61,0.52,0.49,2.2,16.77,3.66,14.37,42.46,69.56,43.24
Delhivery Ltd.,,,,,,,,,,,14.66
Delta Corp Ltd.,29.3,111.74,34.31,32.2,31.84,153.86,33.55,26.19,17.01,54.9,82.65
Den Networks Ltd.,6.38,3.15,6.19,0.87,1.94,8.1,43.26,0.06,1.06,3.86,3.18
Dev Information Technology Ltd.,,,,,,,,,,,0.09
Devyani International Ltd.,,,,,,,,,,46.01,12.13
Dhampur Sugar Mills Ltd.,0.53,0.21,0.78,4.13,38.3,24.98,24.76,7.62,0.67,8.88,3.98
Dhanlaxmi Bank Ltd.,35.48,0.82,4.39,0.81,0.68,1.31,0.23,0.18,0.69,1.21,12.02
Dhanuka Agritech Ltd.,2.44,2.16,2.9,0.07,3.26,3.02,0.3,6.09,0.63,5.61,1.29
Dhunseri Investments Ltd.,0.02,0.03,0.16,0.06,0.08,0.85,0.03,0.08,0.01,0.29,0.04
Dhunseri Ventures Ltd.,1.3,0.37,0.32,0.45,0.44,1.15,0.11,0.03,0.05,1.96,0.43
Divi'S Laboratories Ltd.,8.17,36.84,17.03,24.09,77.41,68.26,27.13,9.75,74.85,77.81,33.34
Dixon Technologies (India) Ltd.,,,,,,157.58,1.61,40.99,43.73,239.51,58.62
Dollar Industries Ltd.,,,,,,,0,0.03,1.17,4.51,0.13
Donear Industries Ltd.,0.02,0,0.07,6.44,0.4,0.75,0.89,0.03,0.11,0.76,1.49
Dr. Lal Pathlabs Ltd.,,,,43.57,8.72,414.45,2,7.7,8.99,53.29,12.71
Dr. Reddy'S Laboratories Ltd.,113.53,159.85,187.21,183.29,31.05,296.65,77.4,56.16,442.15,47.95,27.18
Ducon Infratechnologies Ltd.,0.02,0,0.14,1.95,1.82,1.15,2.39,0.26,0.14,1.6,1.24
Dynacons Systems & Solutions Ltd.,0.01,0,0.03,0.05,0.05,0.11,0,0,0.37,23.79,1.74
Dynamatic Technologies Ltd.,0.09,1.45,2.07,0.49,0.07,0.95,0.06,0.17,1,0.87,1.78
E I D-Parry (India) Ltd.,3.96,4.76,5.67,9.19,17.66,14.49,1.58,3.9,3.96,4.48,33.64
E I H Ltd.,1.89,1.07,3.48,2.07,0.7,2.71,50.31,0.16,1.24,8.66,1.62
E P L Ltd.,0.83,2.02,12.18,1.89,2.89,0.32,1.17,1.88,0.62,0.6,3.82
Easy Trip Planners Ltd.,,,,,,,,,,9.55,29.92
Eclerx Services Ltd.,2.16,2.16,7.27,3.23,1.83,30.02,4.35,5.44,6.42,24.83,5.78
Edelweiss Financial Services Ltd.,1.32,0.22,30.13,6.74,11.18,55.39,16.81,7.06,6.96,7.78,14.95
Eicher Motors Ltd.,7.94,3.96,52.26,84.09,68.5,97.83,47,48.61,304.08,24.54,46.05
Eimco Elecon (India) Ltd.,0.1,0.01,0.05,0.16,0.51,0.1,0,1.21,0.42,0.12,1.4
Electrosteel Castings Ltd.,0.63,0.44,2.64,3.49,3.23,3.12,0.21,0.07,0.6,6.3,2.68
Elgi Equipments Ltd.,257.02,0.19,0.17,0.08,4.88,4.98,0.05,0.03,33.98,16.89,27.33
Emami Ltd.,0.45,5.37,9.21,7.31,14.07,28.3,8.41,8,60.71,12.78,5
Emami Paper Mills Ltd.,0.08,0.03,0.08,0.05,2.13,2.03,0.46,0,0.08,4.51,0.25
Emkay Global Financial Services Ltd.,0.05,0.79,0.55,0.23,0.31,1.53,0.91,0.05,0.52,10.67,0.29
Emmbi Industries Ltd.,0.03,0.06,0.23,4.72,3.64,1.75,0.08,0.46,0.04,1.92,0.02
Endurance Technologies Ltd.,,,,,30.38,5.15,7.34,1.2,118.25,1.65,1.09
Engineers India Ltd.,2.36,2.1,22.91,46.98,36.6,47.54,19.73,9.49,14.35,8.99,29.71
Equitas Small Finance Bank Ltd.,,,,,,,,,2.4,4.21,10.04
Eris Lifesciences Ltd.,,,,,,0.88,0.59,2.84,6.45,3.28,3.17
Esab India Ltd.,0.16,0.03,1.77,0.1,1.05,0.32,0.46,1.45,0.87,0.59,1.71
Escorts Kubota Ltd.,27.02,38.29,21.33,13.17,29.03,411.33,69.04,192.38,80.39,22.96,18.37
Ester Industries Ltd.,0.3,0,0.22,4.34,1.71,135.05,0.3,0.5,6.61,1.93,1.16
Excel Industries Ltd.,0.17,0.05,8.32,0.3,0.32,2.57,4.83,1.13,0.4,0.67,0.17
Exide Industries Ltd.,44.48,7.85,216.65,53.33,29.04,51.91,25.28,8.9,87.71,72.47,36.91
Expleo Solutions Ltd.,1.72,0.09,1.11,10.93,1.04,0.4,0.67,0.84,0.6,5.93,0.18
F D C Ltd.,0.79,9.3,5.44,0.65,0.48,1.9,0.12,1.92,1.56,3.11,3.16
F S N E-Commerce Ventures Ltd.,,,,,,,,,,123.37,94.49
Federal Bank Ltd.,8.64,21.17,40.79,26.26,26.18,156.33,37.41,107.55,209.45,71.33,46.19
Federal-Mogul Goetze (India) Ltd.,1.02,0.4,6.88,0.1,0.63,0.22,0.82,0,3.99,0.49,0.15
Fiem Industries Ltd.,2.44,4.01,32.57,10.3,1.9,0.95,0.08,18.31,0.31,2.43,6.26
Filatex India Ltd.,0.03,0,0.01,0.03,3.56,2.35,7.9,0.48,6.08,11.07,0.84
Fine Organic Inds. Ltd.,,,,,,,3.79,3.8,4.28,4.56,7.04
Fineotex Chemical Ltd.,1.28,1.8,1.91,32.9,0.66,26.63,2.14,0.28,2.57,16.88,12.78
Finolex Cables Ltd.,6.39,2.86,4.95,0.57,9.02,17.41,0.83,0.55,3.9,3.06,6.52
Finolex Industries Ltd.,22.06,1.59,2.11,4.68,14.06,3.56,0.63,1.53,3.21,43.02,13.98
Firstsource Solutions Ltd.,1.13,32.28,13.38,17.51,18.29,30.36,15.76,3.76,9.6,25.25,10.69
Five-Star Business Finance Ltd.,,,,,,,,,,,8.89
Fortis Healthcare Ltd.,3.13,5.24,4.29,15.57,761.51,291.92,2.41,74.54,14.6,20.22,4.06
Foseco India Ltd.,1.61,0.05,0.92,0.17,0,0.4,0.51,0.69,0.58,0.27,0.01
G A I L (India) Ltd.,36.18,31.64,27.33,24.3,110.19,123.23,75.05,29.5,70.76,118.04,183.52
G M M Pfaudler Ltd.,0.32,6.02,2.7,0.96,9.02,1.63,1.41,5.1,13.96,25.68,7.84
G M R Airports Infrastructure Ltd.,15.26,10.39,114.37,312.2,19.69,86.39,12.34,14.73,235.54,50.02,10.29
G R Infraprojects Ltd.,,,,,,,,,,2.55,0.78
Gabriel India Ltd.,0.18,0.75,25.35,3.81,1.57,4.62,0.19,0.23,1.53,4.09,3.29
Galaxy Surfactants Ltd.,,,,,,,0.2,1.86,1.94,2.12,1.25
Gallantt Ispat Ltd.,8.13,0.03,0.55,0.28,0.31,0.65,0.02,0.01,1.2,0.45,1.19
Gandhi Special Tubes Ltd.,0.41,0.56,2.14,0,0.55,0.89,0.38,0.09,0.06,0.05,2.4
Ganesha Ecosphere Ltd.,0.06,0,1.71,0.59,0.27,14.83,0.04,0.41,0.44,25.84,2
